trial,testing,parameters,net_reward,age,success
1,False,"{'a': 0.3, 'e': 0.9995955318789526}",1.0,1,1
2,False,"{'a': 0.3, 'e': 0.9995908502751061}",1.0,1,1
3,False,"{'a': 0.3, 'e': 0.9995861145054593}",1.0,1,1
4,False,"{'a': 0.3, 'e': 0.99958132394384}",1.0,1,1
5,False,"{'a': 0.3, 'e': 0.9995764779568498}",0.95,2,1
6,False,"{'a': 0.3, 'e': 0.999571575903781}",0.95,2,1
7,False,"{'a': 0.3, 'e': 0.9995666171365315}",0.75,6,1
8,False,"{'a': 0.3, 'e': 0.9995616009995208}",1.0,1,1
9,False,"{'a': 0.3, 'e': 0.9995565268296037}",1.0,1,1
10,False,"{'a': 0.3, 'e': 0.9995513939559832}",1.0,1,1
11,False,"{'a': 0.3, 'e': 0.9995462017001225}",1.0,1,1
12,False,"{'a': 0.3, 'e': 0.999540949375656}",0.85,4,1
13,False,"{'a': 0.3, 'e': 0.9995356362882994}",0.55,10,1
14,False,"{'a': 0.3, 'e': 0.9995302617357593}",1.0,1,1
15,False,"{'a': 0.3, 'e': 0.9995248250076398}",0.8,5,1
16,False,"{'a': 0.3, 'e': 0.9995193253853505}",0.95,2,1
17,False,"{'a': 0.3, 'e': 0.9995137621420117}",0.75,6,1
18,False,"{'a': 0.3, 'e': 0.99950813454236}",0.85,4,1
19,False,"{'a': 0.3, 'e': 0.9995024418426504}",0.9,3,1
20,False,"{'a': 0.3, 'e': 0.9994966832905607}",0.75,6,1
1,True,"{'a': 0.0, 'e': 0.0}",0.95,2,1
2,True,"{'a': 0.0, 'e': 0.0}",0.95,2,1
3,True,"{'a': 0.0, 'e': 0.0}",0.85,4,1
4,True,"{'a': 0.0, 'e': 0.0}",0.7,7,1
5,True,"{'a': 0.0, 'e': 0.0}",0.7,7,1
6,True,"{'a': 0.0, 'e': 0.0}",0.95,2,1
7,True,"{'a': 0.0, 'e': 0.0}",0.95,2,1
8,True,"{'a': 0.0, 'e': 0.0}",1.0,1,1
9,True,"{'a': 0.0, 'e': 0.0}",0.95,2,1
10,True,"{'a': 0.0, 'e': 0.0}",0.65,8,1
